zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated,ls_id,lmi_id,pl_id
10477699,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",38,1932,11683
337913127,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",39,2350,NULL
351929412,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",40,1433,12257
351154260,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",41,511,12498
442001065,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",42,289,NULL
337099395,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",43,1390,12238
2052842151,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",44,1463,12271
2053081150,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",45,NULL,11839
442720758,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",46,311,NULL
442724065,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",47,2213,NULL
17080329,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",48,30,12457
244885148,0,0,0,0,0,0,0,0,1,"2024-11-20 23:54:07",49,124,11492
440036984,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",50,677,NULL
442707924,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",51,2577,NULL
20022323,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",52,726,12442
350101753,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",53,2384,12296
353922728,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",54,1695,11644
41160239,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",55,1600,11883
348939329,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",56,NULL,12298
442722169,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",57,906,NULL
27962664,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",58,614,12205
2067984346,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",59,848,11598
7802771,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",60,2047,NULL
442720817,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",61,598,NULL
2055886386,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",62,1316,12052
2053901371,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",63,619,12277
442717169,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",64,1409,NULL
439417241,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",65,1573,NULL
350922153,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",66,654,12267
442721973,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",67,235,NULL
20498344,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",68,581,12395
33912604,0,1,0,0,0,0,0,1,0,"2024-11-20 23:54:07",69,4091,11940
345457692,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",70,11,12500
442707890,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",71,1276,NULL
43812298,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",72,994,12112
402142668,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",73,918,NULL
338639491,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",74,1614,12521
2054462658,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",75,1315,13376
2056831327,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",76,1554,12281
2058508561,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",77,2512,NULL
442718046,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",78,2354,NULL
26461574,0,0,0,0,0,1,0,0,0,"2024-11-20 23:54:07",79,639,12317
10241000,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",80,739,11659
88176329,0,1,0,0,0,0,0,1,0,"2024-11-20 23:54:07",81,220,11970
442703769,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",82,2210,NULL
3795243,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",83,898,NULL
442717933,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",84,2386,NULL
