zpid,event,price,pricePerSquareFoot,priceChangeRate,dateOfEvent,source,postingIsRental,lastUpdated,lph_id,pl_id,lti_id
28455134,Sold,NULL,NULL,0,2018-02-20,,0,"2024-11-20 23:54:06",181,9562,12746
1110476,Sold,14000,NULL,0,2016-12-28,,0,"2024-11-26 06:02:40",182,NULL,96467
73512265,Sold,120000,49,0,1995-05-15,,0,"2024-11-20 23:54:06",183,11929,20602
80232457,Sold,NULL,NULL,0,2016-08-10,,0,"2024-11-20 23:54:06",184,12038,6049
28195946,Sold,NULL,NULL,0,2013-10-04,,0,"2024-11-20 23:54:06",185,12169,27415
60092857,Sold,NULL,NULL,0,2015-06-01,,0,"2024-11-26 06:02:40",186,2231,94595
3572700,Sold,49000,49,0,1988-12-28,,0,"2024-11-20 23:54:06",187,12018,48870
2089049428,Sold,NULL,NULL,0,2018-12-07,,0,"2024-11-20 23:54:06",188,12255,NULL
69665257,Sold,NULL,NULL,0,2018-11-06,,0,"2024-11-26 06:02:40",189,2233,98676
6204611,Sold,62900,51,0,1990-06-22,,0,"2024-11-20 23:54:06",190,980,6979
123236016,Sold,NULL,NULL,0,2016-04-20,,0,"2024-11-20 23:54:06",191,12077,40098
60338542,Sold,NULL,NULL,0,2016-09-22,,0,"2024-11-26 06:02:40",192,NULL,87219
33863601,Sold,81000,53,0,1992-09-09,,0,"2024-11-20 23:54:06",193,NULL,10761
27934663,Sold,NULL,NULL,0,2022-04-14,,0,"2024-11-20 23:54:06",194,9589,13269
118405074,Sold,NULL,NULL,0,2017-03-13,,0,"2024-11-26 06:02:40",195,5499,96805
34094758,Sold,69700,55,0,1990-10-19,,0,"2024-11-21 00:25:47",196,10203,2305
80547341,Sold,NULL,NULL,0,2012-05-02,,0,"2024-11-20 23:54:06",197,9500,6988
118404451,Sold,NULL,NULL,0,2012-06-25,,0,"2024-11-26 06:02:40",198,2080,86327
34094758,Sold,69700,55,0,1990-10-19,,0,"2024-11-21 00:21:31",199,10203,2305
26706134,Sold,NULL,NULL,0,2013-06-04,,0,"2024-11-20 23:54:06",200,9501,10038
28045777,Sold,NULL,NULL,0,2015-06-24,,0,"2024-11-20 23:54:06",201,9573,12839
68421303,Sold,NULL,NULL,0,2016-08-23,,0,"2024-11-26 06:02:40",202,2082,94425
34094758,Sold,69700,55,0,1990-10-19,,0,"2024-11-21 00:24:35",203,10203,2305
28266335,Sold,NULL,NULL,0,1993-06-15,,0,"2024-11-20 23:54:06",204,9598,14516
89635548,Sold,NULL,NULL,0,2016-05-02,,0,"2024-11-20 23:54:06",205,12204,48918
62604609,Sold,NULL,NULL,0,2009-11-17,,0,"2024-11-26 06:02:40",206,2276,76616
34094758,Sold,69700,55,0,1990-10-19,,0,"2024-11-21 00:22:43",207,10203,2305
28319705,Sold,NULL,NULL,0,2018-03-09,,0,"2024-11-20 23:54:06",208,12228,48181
26790665,Sold,NULL,NULL,0,2016-11-01,,0,"2024-11-20 23:54:06",209,12047,6107
80590677,Sold,NULL,NULL,0,2013-04-29,,0,"2024-11-26 06:02:40",210,5493,79254
21265583,Sold,44000,55,0,1977-04-29,,0,"2024-11-20 23:54:06",211,12416,39992
84031106,Sold,NULL,NULL,0,2013-04-15,,0,"2024-11-20 23:54:06",212,9609,12934
26296647,Sold,NULL,NULL,0,2017-08-24,,0,"2024-11-20 23:54:06",213,9671,9426
26411243,Sold,NULL,NULL,0,2022-07-20,,0,"2024-11-26 06:02:40",214,2226,8443
26923493,Sold,NULL,NULL,0,2011-04-20,,0,"2024-11-20 23:54:06",215,NULL,10013
36533191,Sold,64000,57,0.73,2020-05-08,,0,"2024-11-20 23:54:06",216,11714,44504
26470327,Sold,NULL,NULL,0,2016-09-02,,0,"2024-11-20 23:54:06",217,12323,41446
27992647,Sold,NULL,NULL,0,2012-09-12,,0,"2024-11-26 06:02:40",218,2138,77085
63726403,Sold,NULL,NULL,0,2014-09-06,,0,"2024-11-20 23:54:06",219,9692,10045
44257008,Sold,100000,59,0,1981-12-01,,0,"2024-11-20 23:54:06",220,12147,54326
102496406,Sold,NULL,NULL,0,2021-11-19,,0,"2024-11-20 23:54:06",221,12279,36871
27990630,Sold,NULL,NULL,0,2018-03-10,,0,"2024-11-26 06:02:40",222,2296,86606
26470327,Sold,NULL,NULL,0,2012-12-12,,0,"2024-11-20 23:54:06",223,12323,41446
10199628,Sold,1400,NULL,0,1979-04-17,,0,"2024-11-20 23:54:06",224,NULL,21138
2063178546,Sold,800000,NULL,-0.03,2023-05-18,,0,"2024-11-26 06:02:40",225,1626,NULL
28490917,Sold,NULL,NULL,0,2019-10-07,,0,"2024-11-20 23:54:06",226,9490,12304
26698806,Sold,NULL,NULL,0,2016-08-22,,0,"2024-11-20 23:54:06",227,12041,17211
26325449,Sold,NULL,NULL,0,2018-09-22,,0,"2024-11-26 06:02:40",228,2119,7425
69670760,Sold,NULL,NULL,0,2015-11-24,,0,"2024-11-20 23:54:06",229,NULL,10828
124395339,Sold,NULL,NULL,0,2018-12-18,,0,"2024-11-20 23:54:06",230,9753,10875
