zpid,zpidComp,addressComp,cityComp,stateComp,zipComp,priceComp,homeTypeComp,homeStatusComp,livingAreaValueComp,livingAreaUnitsComp,lotAreaValueComp,lotAreaUnitsComp,lastUpdated,lsi_id,lnh_id
35872042,35872008,"882 Bonneville Ter NW",Atlanta,GA,30331,234100,"Single Family",Other,1108,"Square Feet",9644,"Square Feet","2024-11-20 22:18:43",3705,84
35921943,35921936,"2121 W Wesley Rd NW",Atlanta,GA,30327,3172600,"Single Family",Other,8703,"Square Feet",4,Acres,"2024-11-20 23:54:06",8644,85
35855662,35855664,"1858 Calloway Dr NW",Atlanta,GA,30314,70900,Lot,Other,2562,"Square Feet",9452,"Square Feet","2024-11-20 23:54:06",11798,86
35920166,35920164,"1712 Ridge Valley Ct NW",Atlanta,GA,30327,906900,"Single Family",Other,2113,"Square Feet",1,Acres,"2024-11-20 22:18:43",8626,87
69375258,69371086,"2828 Brookford Ln SW",Atlanta,GA,30331,383700,"Single Family",Other,3451,"Square Feet",0,Acres,"2024-11-20 22:18:43",16980,88
2132563976,88811636,"870 Mayson Turner Rd NW UNIT 1143",Atlanta,GA,30314,129200,Apartment,Other,825,"Square Feet",766,"Square Feet","2024-11-20 23:54:06",51114,89
35872042,35872008,"882 Bonneville Ter NW",Atlanta,GA,30331,234100,"Single Family",Other,1108,"Square Feet",9644,"Square Feet","2024-11-20 23:54:06",3705,90
35921943,35921936,"2121 W Wesley Rd NW",Atlanta,GA,30327,3172600,"Single Family",Other,8703,"Square Feet",4,Acres,"2024-11-20 22:18:43",8644,91
2132563976,88810448,"870 Mayson Turner Rd NW UNIT 1146",Atlanta,GA,30314,160000,Apartment,Other,900,"Square Feet",1158,"Square Feet","2024-11-20 22:18:43",51114,92
69375258,69371086,"2828 Brookford Ln SW",Atlanta,GA,30331,383700,"Single Family",Other,3451,"Square Feet",0,Acres,"2024-11-20 23:54:06",16980,93
35920166,35920164,"1712 Ridge Valley Ct NW",Atlanta,GA,30327,906900,"Single Family",Other,2113,"Square Feet",1,Acres,"2024-11-20 23:54:06",8626,94
