zpid,schoolName,schoolRating,type,gradeLevel,grades,distanceFromListing,link,lastUpdated,lsi_id,lnh_id
92345362,"Pinnacle High School",8,Public,Middle,7-12,1.4,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-21 14:20:38",504,NULL
7990388,"Pinnacle High School",8,Public,Middle,7-12,0.1,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-22 14:21:59",505,NULL
7990884,"Pinnacle High School",8,Public,Middle,7-12,1.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-22 14:21:59",506,NULL
352643551,"Pinnacle High School",8,Public,Middle,7-12,2.1,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-22 14:21:59",507,NULL
7988037,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:35:29",508,NULL
7989582,"Pinnacle High School",8,Public,Middle,7-12,1.4,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:35:29",509,NULL
7985644,"Pinnacle High School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:35:29",510,NULL
7987297,"Pinnacle High School",8,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:35:29",511,NULL
440006383,"Pinnacle High School",8,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/phoenix/2630-Pinnacle-High-School/,"2024-11-23 06:35:29",512,NULL
68959627,"Horizon High School",7,Public,Middle,7-12,3.2,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-23 06:36:42",513,NULL
68959627,"Horizon High School",7,Public,Middle,7-12,3.2,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-23 06:38:32",514,NULL
68959627,"Horizon High School",7,Public,Middle,7-12,3.2,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-23 06:39:45",515,NULL
68959756,"Horizon High School",7,Public,Middle,7-12,3.2,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-27 06:13:47",516,NULL
8028544,"Horizon High School",7,Public,Middle,7-12,0.6,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-22 11:25:39",517,NULL
68959627,"Horizon High School",7,Public,Middle,7-12,3.2,https://www.greatschools.org/arizona/scottsdale/793-Horizon-High-School/,"2024-11-23 06:35:29",518,NULL
7939079,"Deer Valley High School",6,Public,Middle,7-12,0.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 06:36:42",519,NULL
7939079,"Deer Valley High School",6,Public,Middle,7-12,0.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 06:38:32",520,NULL
7939079,"Deer Valley High School",6,Public,Middle,7-12,0.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 06:39:45",521,NULL
7949475,"Deer Valley High School",6,Public,Middle,7-12,0.5,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 09:30:22",522,NULL
7941807,"Deer Valley High School",6,Public,Middle,7-12,2.2,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 09:30:22",523,NULL
7941311,"Deer Valley High School",6,Public,Middle,7-12,2.2,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-29 05:32:39",524,NULL
7948072,"Deer Valley High School",6,Public,Middle,7-12,1.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-27 09:23:19",525,NULL
7948557,"Deer Valley High School",6,Public,Middle,7-12,1.3,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-21 11:09:29",526,NULL
7940592,"Deer Valley High School",6,Public,Middle,7-12,2.6,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-21 14:20:38",527,NULL
7939079,"Deer Valley High School",6,Public,Middle,7-12,0.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-22 11:25:39",528,NULL
7939079,"Deer Valley High School",6,Public,Middle,7-12,0.9,https://www.greatschools.org/arizona/glendale/569-Deer-Valley-High-School/,"2024-11-23 06:35:29",529,NULL
28139394,"Smith Elementary School",1,Public,Elementary,1-5,0.8,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-21 11:09:29",530,12260
2106642332,"Smith Elementary School",1,Public,Elementary,1-5,0.5,https://www.greatschools.org/texas/houston/197-Smith-Academy/,"2024-11-21 11:09:29",531,12279
28449052,"Dunn Elementary School",1,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/219-Dunn-Elementary-School/,"2024-11-24 05:51:59",532,NULL
2057390567,"Boston Latin School",8,Public,Middle,7-12,0.6,https://www.greatschools.org/massachusetts/boston/231-Boston-Latin-School/,"2024-11-22 11:25:39",533,NULL
2052844037,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-23 06:36:42",534,NULL
2052844037,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-23 06:38:32",535,NULL
2052844037,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-23 06:39:45",536,NULL
441016204,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-24 05:51:59",537,NULL
28449052,"Dunn Elementary School",1,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/219-Dunn-Elementary-School/,"2024-11-25 05:33:30",538,NULL
28154719,"Gray Elementary School",3,Public,Elementary,1-5,0.5,https://www.greatschools.org/texas/houston/220-Gray-Elementary-School/,"2024-11-29 05:32:39",539,NULL
28412174,"Gray Elementary School",3,Public,Elementary,1-5,0.4,https://www.greatschools.org/texas/houston/220-Gray-Elementary-School/,"2024-11-28 06:03:26",540,NULL
28412174,"Gray Elementary School",3,Public,Elementary,1-5,0.4,https://www.greatschools.org/texas/houston/220-Gray-Elementary-School/,"2024-11-27 06:13:47",541,NULL
28140130,"Black Elementary School",2,Public,Elementary,1-5,0.4,https://www.greatschools.org/texas/houston/221-Black-Elementary-School/,"2024-11-27 06:13:47",542,NULL
28140130,"Black Elementary School",2,Public,Elementary,1-5,0.4,https://www.greatschools.org/texas/houston/221-Black-Elementary-School/,"2024-11-26 06:02:41",543,NULL
161441128,"Sheldon Lake Elementary School",4,Public,Elementary,1-5,0.4,https://www.greatschools.org/texas/houston/25809-NEW-Elementary-School/,"2024-11-28 06:03:26",544,NULL
442842876,"Sheldon Lake Elementary School",4,Public,Elementary,1-5,2.3,https://www.greatschools.org/texas/houston/25809-NEW-Elementary-School/,"2024-11-26 06:02:41",545,NULL
442842899,"Sheldon Lake Elementary School",4,Public,Elementary,1-5,2.3,https://www.greatschools.org/texas/houston/25809-NEW-Elementary-School/,"2024-11-26 06:02:41",546,NULL
13373236,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-23 06:36:42",547,NULL
13373236,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-23 06:38:32",548,NULL
13373236,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-23 06:39:45",549,NULL
13372689,"Cory Elementary School",8,Public,Elementary,1-5,0.3,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-23 09:30:22",550,NULL
13372257,"Cory Elementary School",8,Public,Elementary,1-5,0.2,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-29 05:32:39",551,NULL
13372257,"Cory Elementary School",8,Public,Elementary,1-5,0.2,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-28 06:03:26",552,NULL
13372558,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-28 09:24:51",553,NULL
13373236,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-23 06:35:29",554,NULL
13372343,"Cory Elementary School",8,Public,Elementary,1-5,0.5,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-26 09:21:12",555,NULL
13372981,"Cory Elementary School",8,Public,Elementary,1-5,0.1,https://www.greatschools.org/colorado/denver/424-Cory-Elementary-School/,"2024-11-26 09:21:12",556,NULL
28144981,"Oleson Elementary School",4,Public,Elementary,1-5,0.3,https://www.greatschools.org/texas/houston/204-Oleson-Elementary-School/,"2024-11-20 23:54:07",557,11839
28144981,"Oleson Elementary School",4,Public,Elementary,1-5,0.3,https://www.greatschools.org/texas/houston/204-Oleson-Elementary-School/,"2024-11-21 11:09:29",558,11839
28309498,"Conley Elementary School",4,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/217-Conley-Elementary-School/,"2024-11-29 05:32:39",559,NULL
28309498,"Conley Elementary School",4,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/217-Conley-Elementary-School/,"2024-11-28 06:03:26",560,NULL
89636079,"Francis Elementary School",5,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/193-Francis-Elementary-School/,"2024-11-23 06:36:42",561,NULL
89636079,"Francis Elementary School",5,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/193-Francis-Elementary-School/,"2024-11-23 06:38:32",562,NULL
89636079,"Francis Elementary School",5,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/193-Francis-Elementary-School/,"2024-11-23 06:39:45",563,NULL
89636079,"Francis Elementary School",5,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/193-Francis-Elementary-School/,"2024-11-22 11:25:39",564,NULL
89636079,"Francis Elementary School",5,Public,Elementary,1-5,1.8,https://www.greatschools.org/texas/houston/193-Francis-Elementary-School/,"2024-11-23 06:35:29",565,NULL
2054182221,"Kelvyn Park High School",1,Public,Middle,7-12,1.1,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-27 06:13:47",566,NULL
28117855,"Goodman Elementary School",6,Public,Elementary,1-5,0.1,https://www.greatschools.org/texas/houston/195-Goodman-Elementary-School/,"2024-11-29 05:32:39",567,NULL
28117855,"Goodman Elementary School",6,Public,Elementary,1-5,0.1,https://www.greatschools.org/texas/houston/195-Goodman-Elementary-School/,"2024-11-28 06:03:26",568,NULL
3672145,"Kelvyn Park High School",1,Public,Middle,7-12,0.3,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-21 11:09:29",569,10985
343983218,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-23 06:36:42",570,NULL
3672145,"Kelvyn Park High School",1,Public,Middle,7-12,0.3,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-22 11:25:39",571,10985
343983218,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-23 06:38:32",572,NULL
54533066,"Kelvyn Park High School",1,Public,Middle,7-12,1.3,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-22 11:25:39",573,NULL
343983218,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-23 06:39:45",574,NULL
27898655,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-29 05:32:39",575,NULL
3687265,"Kelvyn Park High School",1,Public,Middle,7-12,0.9,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-22 11:25:39",576,NULL
27898655,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-28 06:03:26",577,NULL
2052844037,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-23 06:35:29",578,NULL
343983218,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-22 11:25:39",579,NULL
441016204,"Kelvyn Park High School",1,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1203-Kelvyn-Park-High-School/,"2024-11-25 05:33:30",580,NULL
343983218,"Johnson Elementary School",3,Public,Elementary,1-5,1,https://www.greatschools.org/texas/houston/198-Johnson-Elementary-School/,"2024-11-23 06:35:29",581,NULL
4150500,"Morgan Park High School",3,Public,Middle,7-12,1,https://www.greatschools.org/illinois/chicago/1269-Morgan-Park-High-School/,"2024-11-23 06:36:42",582,NULL
80584477,"Sammons Elementary School",6,Public,Elementary,1-5,0.7,https://www.greatschools.org/texas/houston/207-Sammons-Elementary-School/,"2024-11-20 23:54:07",583,NULL
4144510,"Morgan Park High School",3,Public,Middle,7-12,0.5,https://www.greatschools.org/illinois/chicago/1269-Morgan-Park-High-School/,"2024-11-23 06:36:42",584,NULL
442945213,"Sammons Elementary School",6,Public,Elementary,1-5,0.7,https://www.greatschools.org/texas/houston/207-Sammons-Elementary-School/,"2024-11-27 06:13:47",585,NULL
442766168,"Sammons Elementary School",6,Public,Elementary,1-5,0.7,https://www.greatschools.org/texas/houston/207-Sammons-Elementary-School/,"2024-11-22 11:25:39",586,NULL
442765610,"Sammons Elementary School",6,Public,Elementary,1-5,0.7,https://www.greatschools.org/texas/houston/207-Sammons-Elementary-School/,"2024-11-22 11:25:39",587,NULL
442988247,"Calvert Elementary School",6,Public,Elementary,1-5,2.9,https://www.greatschools.org/texas/houston/236-Calvert-Elementary-School/,"2024-11-28 06:03:26",588,NULL
80516036,"Calvert Elementary School",6,Public,Elementary,1-5,2.8,https://www.greatschools.org/texas/houston/236-Calvert-Elementary-School/,"2024-11-27 06:13:47",589,NULL
62594717,"Spence Elementary School",1,Public,Elementary,1-5,0.2,https://www.greatschools.org/texas/houston/10856-Spence-Elementary-School/,"2024-11-26 06:02:41",590,NULL
4143645,"Morgan Park High School",3,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1269-Morgan-Park-High-School/,"2024-11-23 06:36:42",591,NULL
70478815,"Morgan Park High School",3,Public,Middle,7-12,0.7,https://www.greatschools.org/illinois/chicago/1269-Morgan-Park-High-School/,"2024-11-23 06:36:42",592,NULL
4096307,"Morgan Park High School",3,Public,Middle,7-12,0.4,https://www.greatschools.org/illinois/chicago/1269-Morgan-Park-High-School/,"2024-11-23 06:36:42",593,NULL
