zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
20573430,910000,"Recently Sold","Single Family",2024-08-16,"4159 Denker Ave","Los Angeles",CA,90062,"Los Angeles County",1922,1704,sqft,3789,3,3,276,12,1.16,9,2024-11-22,https://www.zillow.com/homedetails/4159-Denker-Ave-Los-Angeles-CA-90062/20573430_zpid/,"2024-11-23 09:30:22",823,57300,13484,2748
347768964,549000,"Recently Sold",Condo,2024-08-02,"1920 4th Avenue UNIT 312",Seattle,WA,98121,"King County",2010,952,sqft,3369,2,1,159,3,0.77,9,2024-11-22,https://www.zillow.com/homedetails/1920-4th-Ave-UNIT-312-Seattle-WA-98121/347768964_zpid/,"2024-11-23 09:30:22",824,19451,41616,2645
16977112,630100,"Pre Foreclosure","Single Family",2024-10-06,"3083 39th St","San Diego",CA,92105,"San Diego County",1929,1410,sqft,3903,3,4,95,1,1.17,888,NULL,https://www.zillow.com/homedetails/3083-39th-St-San-Diego-CA-92105/16977112_zpid/,"2024-11-23 09:30:22",825,22207,50390,2816
32037670,720000,"For Sale",Condo,2024-11-29,"35-20 147th St #8C",Flushing,NY,11354,"Queens County",1988,890,sqft,2445,2,2,15,0,0.86,NULL,NULL,https://www.zillow.com/homedetails/35-20-147th-St-8C-Flushing-NY-11354/32037670_zpid/,"2024-11-29 05:32:39",826,18182,NULL,8241
20630810,820000,"Recently Sold","Single Family",2024-11-06,"3215 Malabar St","Los Angeles",CA,90063,"Los Angeles County",1910,1275,sqft,3576,2,3,103,1,1.16,9,2024-11-22,https://www.zillow.com/homedetails/3215-Malabar-St-Los-Angeles-CA-90063/20630810_zpid/,"2024-11-23 09:30:22",827,36201,21896,2687
84757836,815000,"Recently Sold","Single Family",2024-10-11,"2811 SW Bataan Street",Seattle,WA,98126,"King County",2011,1800,sqft,3604,3,3,311,23,0.77,9,2024-11-22,https://www.zillow.com/homedetails/2811-SW-Bataan-St-Seattle-WA-98126/84757836_zpid/,"2024-11-23 09:30:22",828,19392,2842,2357
349894217,2100000,"Recently Sold",Condo,2024-05-13,"12484 Osprey Ln #2","Playa Vista",CA,90094,"Los Angeles County",2014,1909,sqft,8169,3,3,80,1,1.16,9,2024-11-22,https://www.zillow.com/homedetails/12484-Osprey-Ln-2-Playa-Vista-CA-90094/349894217_zpid/,"2024-11-23 09:30:22",829,49502,13779,2968
2063159386,239000,"For Sale",Condo,2024-11-28,"215-40 47th Ave APT 2B",Bayside,NY,11361,"Queens County",NULL,NULL,sqft,3930,1,1,90,3,0,7,NULL,https://www.zillow.com/homedetails/215-40-47th-Ave-APT-2B-Bayside-NY-11361/2063159386_zpid/,"2024-11-29 05:32:39",830,9082,93718,8228
58382062,288575,"Recently Sold",Condo,2024-10-16,"5450 California Avenue SW UNIT 101",Seattle,WA,98136,"King County",2000,643,sqft,1989,1,NULL,310,5,0.77,9,2024-11-22,https://www.zillow.com/homedetails/5450-California-Ave-SW-SUITE-101-Seattle-WA-98136/58382062_zpid/,"2024-11-23 09:30:22",831,24072,41673,3142
31957237,699000,"For Sale",Condo,2024-11-28,"7615 35th Ave APT 5H",Flushing,NY,11372,"Queens County",1939,1052,sqft,2769,1,2,191,6,0.86,21,NULL,https://www.zillow.com/homedetails/7615-35th-Ave-APT-5H-Flushing-NY-11372/31957237_zpid/,"2024-11-29 05:32:39",832,3750,93750,8408
