zpid,lastUpdatedTimestamp,lastUpdatedDate,valueIncreaseRate,taxIncreaseRate,taxPaid,propertyValue,lti_id,lmi_id,lph_id
60952915,"2020-11-25 05:30:28",2020-11-25,0,0,4032.48,155252,202,NULL,59808
60952915,"2019-11-25 05:30:28",2019-11-25,0,3,3783.58,142920,203,NULL,59808
60952915,"2000-11-25 05:30:28",2000-11-25,0,0,166.58,NULL,204,NULL,59808
60952915,"2021-11-25 05:30:28",2021-11-25,0,0,4312.67,160864,205,NULL,59808
60952915,"2002-11-25 05:30:28",2002-11-25,0,1,266.5,NULL,206,NULL,59808
60952915,"2014-11-25 05:30:28",2014-11-25,0,0,800.14,111604,207,NULL,59808
60952915,"2011-11-25 05:30:28",2011-11-25,0,0,816.29,113712,208,NULL,59808
60952915,"2015-11-25 05:30:28",2015-11-25,0,0,917.65,120780,209,NULL,59808
60952915,"2016-11-25 05:30:28",2016-11-25,0,0,917.65,120780,210,NULL,59808
60952915,"2022-11-25 05:30:28",2022-11-25,0,0,4863.93,197108,211,NULL,59808
60952915,"2017-11-25 05:30:28",2017-11-25,0,0,926.16,126780,212,NULL,59808
60952915,"2012-11-25 05:30:28",2012-11-25,0,0,777.42,108636,213,NULL,59808
60952915,"2003-11-25 05:30:28",2003-11-25,0,0,290.74,NULL,214,NULL,59808
61746003,"2024-11-25 05:26:20",2024-11-25,0,0,4064.29,184879,215,NULL,16678
61746003,"2017-11-25 05:26:20",2017-11-25,0,0,2098.14,135487,216,NULL,16678
61746003,"2023-11-25 05:26:20",2023-11-25,0,0,4137.46,167817,217,NULL,16678
61746003,"2019-11-25 05:26:20",2019-11-25,0,0,2269.81,105498,218,NULL,16678
61746003,"2018-11-25 05:26:20",2018-11-25,0,0,2098.14,136548,219,NULL,16678
61746003,"2016-11-25 05:26:20",2016-11-25,0,0,2098.14,130108,220,NULL,16678
61746003,"2021-11-25 05:26:20",2021-11-25,0,0,2585.54,152925,221,NULL,16678
61746003,"2022-11-25 05:26:20",2022-11-25,0,0,2846.35,155957,222,NULL,16678
61746003,"2020-11-25 05:26:20",2020-11-25,0,0,2388.63,146026,223,NULL,16678
61746003,"2014-11-25 05:26:20",2014-11-25,0,0,2360.08,95369,224,NULL,16678
61746003,"2015-11-25 05:26:20",2015-11-25,0,0,2360.08,123236,225,NULL,16678
14789460,"2023-11-25 05:31:12",2023-11-25,0,0,5916.53,160880,226,NULL,24967
14789460,"2020-11-25 05:31:12",2020-11-25,0,0,898.25,107600,227,NULL,24967
14789460,"2016-11-25 05:31:12",2016-11-25,0,0,786.71,94160,228,NULL,24967
14789460,"2014-11-25 05:31:12",2014-11-25,0,0,805.12,85560,229,NULL,24967
14789460,"2015-11-25 05:31:12",2015-11-25,0,0,805.12,85560,230,NULL,24967
14789460,"2019-11-25 05:31:12",2019-11-25,0,0,829.88,107600,231,NULL,24967
14789460,"2004-11-25 05:31:12",2004-11-25,0,0,1064.88,91560,232,NULL,24967
14789460,"2003-11-25 05:31:12",2003-11-25,0,0,889.15,74400,233,NULL,24967
14789460,"2021-11-25 05:31:12",2021-11-25,0,0,903.08,115120,234,NULL,24967
14789460,"2001-11-25 05:31:12",2001-11-25,0,0,1456.39,55680,235,NULL,24967
14789460,"2013-11-25 05:31:12",2013-11-25,0,0,695.63,76000,236,NULL,24967
14789460,"2018-11-25 05:31:12",2018-11-25,0,0,829.88,107600,237,NULL,24967
14789460,"2002-11-25 05:31:12",2002-11-25,0,0,1771.12,74400,238,NULL,24967
14789460,"2022-11-25 05:31:12",2022-11-25,0,0,0,128040,239,NULL,24967
29409876,"2016-11-25 05:23:46",2016-11-25,0,0,2201.57,314622,240,NULL,95194
29409876,"2002-11-25 05:23:46",2002-11-25,0,0,1085.2,132200,241,NULL,95194
29409876,"2014-11-25 05:23:46",2014-11-25,0,0,2201.57,260018,242,NULL,95194
29409876,"2018-11-25 05:23:46",2018-11-25,0,0,2355.68,374325,243,NULL,95194
29409876,"2023-11-25 05:23:46",2023-11-25,0,0,2687.06,512861,244,NULL,95194
29409876,"2019-11-25 05:23:46",2019-11-25,0,0,2676.48,385320,245,NULL,95194
29409876,"2022-11-25 05:23:46",2022-11-25,0,0,2790.64,466237,246,NULL,95194
29409876,"2017-11-25 05:23:46",2017-11-25,0,0,2355.68,340295,247,NULL,95194
29409876,"2020-11-25 05:23:46",2020-11-25,0,0,2930,385320,248,NULL,95194
29409876,"2015-11-25 05:23:46",2015-11-25,0,0,2201.57,286020,249,NULL,95194
68416596,"2018-11-25 05:17:30",2018-11-25,0,0,8213.83,294859,250,NULL,442
68416596,"2014-11-25 05:17:30",2014-11-25,0,0,6160.66,254778,251,NULL,442
7148564,"2014-11-21 00:19:38",2014-11-21,0,0,11484.73,379665,252,10182,30487
7148564,"2017-11-21 00:19:38",2017-11-21,0,0,11847.65,539774,253,10182,30487
7148564,"2023-11-21 00:19:38",2023-11-21,0,0,14092.69,678668,254,10182,30487
7148564,"2019-11-21 00:19:38",2019-11-21,0,0,12520.22,540231,255,10182,30487
7148564,"2021-11-21 00:19:38",2021-11-21,0,0,13283.23,562829,256,10182,30487
7148564,"2016-11-21 00:19:38",2016-11-21,0,0,11847.65,516454,257,10182,30487
7148564,"2022-11-21 00:19:38",2022-11-21,0,0,13682.29,566818,258,10182,30487
7148564,"2020-11-21 00:19:38",2020-11-21,0,0,12895.75,556619,259,10182,30487
7148564,"2018-11-21 00:19:38",2018-11-21,0,0,11847.65,540231,260,10182,30487
108778005,"2018-11-21 00:19:02",2018-11-21,0,0,982.78,31150,261,12893,NULL
108778005,"2019-11-21 00:19:02",2019-11-21,0,0,982.78,31150,262,12893,NULL
108778005,"2016-11-21 00:19:02",2016-11-21,0,0,982.79,24225,263,12893,NULL
108778005,"2017-11-21 00:19:02",2017-11-21,0,0,982.79,31150,264,12893,NULL
108778005,"2015-11-21 00:19:02",2015-11-21,0,0,1094.01,24225,265,12893,NULL
108778005,"2022-11-21 00:19:02",2022-11-21,0,0,1432.57,44025,266,12893,NULL
108778005,"2020-11-21 00:19:02",2020-11-21,0,0,1314.84,31150,267,12893,NULL
108778005,"2023-11-21 00:19:02",2023-11-21,0,0,1432.57,44025,268,12893,NULL
108778005,"2014-11-21 00:19:02",2014-11-21,0,0,1094.01,24225,269,12893,NULL
108778005,"2021-11-21 00:19:02",2021-11-21,0,0,1447.54,44025,270,12893,NULL
20809751,"2020-11-21 00:20:17",2020-11-21,0,0,23584.56,1942317,271,9977,13197
20809751,"2023-11-21 00:20:17",2023-11-21,0,0,24794.49,2041719,272,9977,13197
20809751,"2015-11-21 00:20:17",2015-11-21,0,0,21554.24,1767451,273,9977,13197
20809751,"2022-11-21 00:20:17",2022-11-21,0,0,23631.4,2001686,274,9977,13197
20809751,"2017-11-21 00:20:17",2017-11-21,0,0,22540.04,1830291,275,9977,13197
20809751,"2016-11-21 00:20:17",2016-11-21,0,0,22043.47,1794404,276,9977,13197
20809751,"2014-11-21 00:20:17",2014-11-21,0,0,21294.45,1732830,277,9977,13197
20809751,"2024-11-21 00:20:17",2024-11-21,0,0,25290.35,2082552,278,9977,13197
20809751,"2018-11-21 00:20:17",2018-11-21,0,0,22540.04,1866896,279,9977,13197
20809751,"2019-11-21 00:20:17",2019-11-21,0,0,23584.56,1904233,280,9977,13197
20809751,"2021-11-21 00:20:17",2021-11-21,0,0,23343.17,1962438,281,9977,13197
20771607,"2022-11-21 00:20:14",2022-11-21,0,0,14960.05,918874,282,10026,13314
20771607,"2020-11-21 00:20:14",2020-11-21,0,0,10847.33,891622,283,10026,13314
20771607,"2014-11-21 00:20:14",2014-11-21,0,0,3688.19,291010,284,10026,13314
20771607,"2019-11-21 00:20:14",2019-11-21,0,0,10847.33,874140,285,10026,13314
20771607,"2024-11-21 00:20:14",2024-11-21,0,0,16075.1,1326000,286,10026,13314
20771607,"2021-11-21 00:20:14",2021-11-21,0,0,10738.7,900858,287,10026,13314
20771607,"2016-11-21 00:20:14",2016-11-21,0,1,8862.66,301348,288,10026,13314
20771607,"2023-11-21 00:20:14",2023-11-21,0,0,15759.37,1300000,289,10026,13314
20771607,"2018-11-21 00:20:14",2018-11-21,0,0,10323.68,857000,290,10026,13314
20771607,"2017-11-21 00:20:14",2017-11-21,1,0,10323.68,730000,291,10026,13314
20771607,"2015-11-21 00:20:14",2015-11-21,0,0,3722.86,296823,292,10026,13314
60650264,"2022-11-21 00:15:41",2022-11-21,0,0,1406.79,142100,293,12690,NULL
60650264,"2021-11-21 00:15:41",2021-11-21,0,0,1208.79,122100,294,12690,NULL
60650264,"2019-11-21 00:15:41",2019-11-21,0,0,1085.71,108300,295,12690,NULL
60650264,"2018-11-21 00:15:41",2018-11-21,0,0,1085.71,108300,296,12690,NULL
60650264,"2023-11-21 00:15:41",2023-11-21,0,0,1406.79,142100,297,12690,NULL
60650264,"2020-11-21 00:15:41",2020-11-21,0,0,1312.39,118500,298,12690,NULL
60650264,"2017-11-21 00:15:41",2017-11-21,0,0,998.5,99600,299,12690,NULL
10544156,"2014-11-21 00:15:06",2014-11-21,9,0,902.87,64500,300,NULL,83642
